ticker,weight
APP,0.2572270957822329
PLTR,0.08274692020213335
VST,0.05828440976175548
CEG,0.04960708745639141
AXON,0.041205109003517065
CRWD,0.03395542770309546
HOOD,0.02416207416943696
IBKR,0.023654953354539137
NFLX,0.020332344082509456
ANET,0.019303321647228328
NVDA,0.01797139834710518
WMB,0.012170833513469339
COIN,0.012021640249163844
ORCL,0.011661846551580937
FTNT,0.01131383469339743
PANW,0.010317859679526125
NRG,0.00939812034316256
EQT,0.009165847045423078
HWM,0.008806230566606184
PGR,0.008740618375759754
ALL,0.007091353471737566
KMI,0.0068087631939127554
AVGO,0.006756404697933166
CAH,0.006426529780801893
CME,0.006328568568762637
MCK,0.006280200747572768
GE,0.0061143505984117405
EME,0.005341606972990692
EXE,0.005301921329867966
PM,0.004782395718870198
WDC,0.004624083947726642
APH,0.004594257599824206
ACGL,0.004533612081722127
PWR,0.004310795378648879
TRGP,0.004140790263376805
COST,0.0041029757528419026
WELL,0.004078738741386318
NOW,0.004015492032848
WRB,0.003981949811439132
MSFT,0.003943620441357663
ETR,0.003939632829340662
DASH,0.00392973686014639
META,0.0039121110384549565
CBOE,0.0037743218769586973
TMUS,0.003452542297315088
BSX,0.003399120435971613
COR,0.003397258018442913
RTX,0.0033660282938468085
GL,0.0032814078151652813
AJG,0.0032581634154164813
PEG,0.0032474709614151343
MSI,0.0031741591882341576
WMT,0.002964517944947026
RSG,0.0028823716793389235
JPM,0.0027870327100498115
KR,0.002750746520765026
TKO,0.00271842688896035
SCHW,0.0025604018869796294
GLW,0.002424758282226601
ETN,0.002422864472936169
GDDY,0.0023817793433664786
GOOGL,0.002347560099290012
WM,0.002326215924976268
GOOG,0.002276903054802348
AIZ,0.0021733502288023275
AFL,0.0021584437111075412
NI,0.0021561096956596764
DDOG,0.0021157088849675723
TRV,0.002008839498944051
TTWO,0.001979284321968375
AEE,0.00191723196019442
BRO,0.001897362097557654
FICO,0.0018791061849479681
WTW,0.001817211363067412
HIG,0.0017961920343004766
NEM,0.0017386561917329913
LMT,0.0017350973127427955
STX,0.0017012800808951754
ORLY,0.0016517226667448193
APO,0.001613370222488904
ROL,0.001611540734461622
DLR,0.0015416214986201885
L,0.001519817453170428
TT,0.0014769525983152278
LLY,0.001414137231347486
NDAQ,0.0014045988679981555
SRE,0.0013506363174469584
OKE,0.0013411126757391875
TDG,0.0013254934727794192
AON,0.0012842700236217186
EXC,0.0012784006803882133
T,0.0012763533899305692
INTU,0.0012242060267010299
CNP,0.0011947587196997637
ISRG,0.0011635756569561499
CB,0.001151450034286385
MMC,0.0011388307052587583
TSLA,0.0011140178737976771
MO,0.0011031488212788487
BK,0.0011016763458254013
CINF,0.0010956534712264411
VTR,0.001085080446247733
CDNS,0.0010828378850738954
EVRG,0.0010826132994867677
ATO,0.0010804718038668986
WFC,0.0010388860025502763
DUK,0.0010298783802758452
IBM,0.0010222184882556844
RJF,0.0010169637308058846
MS,0.0010155728073165111
EW,0.000991728454885123
VRSK,0.0009470007718358073
EG,0.0009325146443675762
PPL,0.0008925131969410051
LHX,0.0008766291492187037
CSCO,0.0008645625582283494
AMZN,0.0008564890217855822
V,0.000807445956912963
LYV,0.0008073457979272397
EA,0.0008006480362606003
ICE,0.0007848968334367081
TPL,0.0007489016252790024
GS,0.0007263313281716686
CTAS,0.0007240526140704732
AMP,0.0006965541933774862
AIG,0.0006961909012483349
K,0.000695902851778107
CRM,0.0006901516353626835
XEL,0.0006832311358389905
SPGI,0.0006786714455926909
BKNG,0.0006589782200855109
ADP,0.0006575385924217302
JCI,0.0006281588120739207
AEP,0.0006018356359288076
PNW,0.0006001953385850068
AZO,0.0005888454211363106
ED,0.0005659415817767203
EQIX,0.0005477002870778921
MA,0.0005434981064297279
NOC,0.0005290706505607373
WEC,0.0005255286937942127
FE,0.0004874023415169085
CTRA,0.00048002637358754197
LNT,0.00042616979035393134
DTE,0.0004238685031754276
MSCI,0.00040283309504991717
SO,0.00040181352851404454
TJX,0.00039629662445866737
BR,0.0003721721734394098
HPE,0.0003689240368800886
TYL,0.0003573432341077462
KVUE,0.00033436950057767734
BAC,0.00033403487434852764
GD,0.00032539457669558165
UBER,0.0003247490735593283
CMS,0.0003213604479709519
DELL,0.0003006396857951448
VRSN,0.00029876712579388455
LDOS,0.00029018452551346014
C,0.0002815379271633342
PCG,0.0002471536402888551
HII,0.00023938623311221002
ADSK,0.00023730842138630648
KO,0.00022165995552114645
MCO,0.0002199333945226601
TDY,0.00021228270523507384
FFIV,0.00019665539698134854
ROP,0.00019448710755096485
JBL,0.0001817106904153506
BKR,0.00017118641217067268
PODD,0.00014955742841006223
PG,0.00014449517308736241
CHRW,0.00014363862827528477
WAB,0.00014266637708945244
MET,0.0001389699697708738
VMC,0.00011896632946102907
ERIE,0.00011815412456438326
IRM,0.00011396208436731446
CPRT,0.00011081205782286075
NTAP,0.00010665866667591708
ABT,0.00010440791123938456
ADBE,9.900818652821335e-05
ECL,9.255449472671793e-05
MCD,8.935065773573152e-05
WDAY,8.056870335814732e-05
LIN,7.639574886016408e-05
FOX,7.36816853111674e-05
HLT,7.026019521591953e-05
DXCM,6.692555424706411e-05
VZ,6.484105422172562e-05
SYK,6.242118996168317e-05
KKR,6.187913288046734e-05
AMD,5.815358280369033e-05
FOXA,5.463233256194113e-05
DGX,5.4473150150555684e-05
NWS,5.409153024847763e-05
SNPS,5.1918509589092074e-05
PAYX,5.0759355240872085e-05
AME,4.3235131246021025e-05
AXP,4.199193823031259e-05
RCL,4.12026225355882e-05
MNST,4.038618015074861e-05
CHD,3.4957647970324245e-05
CL,3.441460925975804e-05
COF,3.333798781842177e-05
MU,2.591488692443631e-05
D,2.2161773348792296e-05
PRU,2.2114284787886936e-05
GWW,1.9388484119254547e-05
FAST,1.6229453232022825e-05
YUM,1.475282717146547e-05
NWSA,1.428680779903382e-05
INVH,1.3925235161904713e-05
J,1.3720880953415916e-05
DPZ,1.3456692877455673e-05
CF,1.2525618454599718e-05
XYL,1.1986399569884504e-05
JNJ,1.1859214100454906e-05
FDS,1.1022769204694664e-05
HON,6.931118930210658e-06
EBAY,6.767670637197984e-06
HUBB,6.704873679200213e-06
STT,6.143142761471458e-06
KMB,5.855527937443318e-06
HCA,5.812647408750034e-06
PTC,5.668215341332009e-06
PFG,5.039621067530713e-06
KDP,3.468795174897855e-06
AWK,2.811268211306958e-06
O,1.8678421105154805e-06
NTRS,1.4782400804953902e-06
NEE,1.446637455254526e-06
EOG,1.3550898465863215e-06
TRMB,1.2846100564617522e-06
ES,1.0785098919420536e-06
CLX,1.044591675043687e-06
